,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
5,BNC36,1,Pizzeria,19.6945792,3.9449472,15.749632,125.38845006879843,7.961357450688273,1.405972476923077,14
6,BNC36,1,Quattroki Restaurant,81.21239990000001,21.2424999,59.9699,348.33248301073576,5.808455291917041,1.8623071404761893,43
7,BNC36,1,High School,17.8051739,7.2854609,10.519713,213.781593867392,20.321998695914232,0.5775566111111112,19
0,BNC36,2,Automobile shop,15.5451267,7.5108157,8.034310999999999,62.8135037076154,7.818156865923589,1.515091188888889,10
1,BNC36,2,Police station ,63.0816861,2.0834861,60.9982,412.8973671545732,6.7690090388662805,1.094315733928572,57
2,BNC36,2,Fire Station,11.0275465,2.2292465,8.7983,139.11146561141294,15.811175523841303,0.6696329999999999,14
3,BNC36,2,Bank,15.6872413,2.0415403,13.645701,154.8372351132433,11.34696085699396,1.3907691181818185,12
4,BNC36,2,Pawn Shop,55.1583364,4.284586399999999,50.87375,349.19903595560623,6.8640317640356034,1.1199727260869563,47
5,BNC36,2,Pizzeria,12.8540385,1.8266085,11.02743,140.6078261693123,12.750733957895202,0.7808125714285714,15
6,BNC36,2,Quattroki Restaurant,85.5194598,4.7987508000000005,80.72070900000001,461.2313894977473,5.713916480809742,1.4090250966666664,61
7,BNC36,2,High School,10.277266699999998,1.6042297,8.673036999999999,208.2261784266533,24.008450376339145,0.5033948823529414,18
0,BNC36,3,Automobile shop,7.3060147,1.7785937000000005,5.527421,62.917391193804825,11.382775293180098,0.6527602699999998,11
1,BNC36,3,Police station ,16.6384349,1.3887759,15.249659,127.98088436277928,8.392376797591297,1.2638748333333334,13
2,BNC36,3,Fire Station,7.5343368,1.5546058,5.979731,127.43175429234248,21.31061652979749,0.4913269999999999,13
3,BNC36,3,Bank,6.465058,1.652125,4.812933,134.66871373213604,27.980591820442136,0.5946825,9
4,BNC36,3,Pawn Shop,14.6868226,6.2497066000000006,8.437116,95.55924368800616,11.3260554540208,1.5919448249999997,9
5,BNC36,3,Pizzeria,9.902995099999998,2.0973351,7.80566,130.18134708843544,16.677814187196912,0.5934751538461539,14
6,BNC36,3,Quattroki Restaurant,38.1651492,6.2014792000000005,31.96367,316.3307149159071,9.89657054136484,0.9953069783783784,38
7,BNC36,3,High School,11.1810874,1.6607484,9.520339,207.07452150981544,21.750750840890795,0.5530721176470588,18
0,BNC37,1,Automobile shop,27.5702667,10.2862367,17.284029999999998,64.19422658136436,3.714077479694514,2.722325188888889,10
1,BNC37,1,Police station ,54.4776919,3.2361459000000004,51.241546,305.63239006815144,5.964542718288621,1.4497329416666664,37
2,BNC37,1,Fire Station,14.2146273,3.1110473,11.10358,137.95520338265567,12.424389555679848,0.8471936153846154,14
3,BNC37,1,Bank,37.9922248,2.8750318,35.117193,268.6524301556078,7.650168114393648,1.247219285714286,29
